id_mpio_postal;zona_postal;codigo_postal;id_mpio
626;2528;252820;25324
627;2320;232050;23182
628;6840;684041;68079
629;2710;271037;27413
630;5280;528039;52621
631;1105;110561;11001
632;4750;475030;47555
633;6855;685527;68013
634;5200;520027;52001
635;6610;661047;66440
636;530;53020;5890
637;6830;683057;68320
638;5460;546058;54385
639;8520;852039;85250
640;4140;414008;41306
641;2040;204001;20517
642;5470;547077;54245
643;4420;442009;44430
644;7050;705057;70233
645;5465;546551;54498
646;4750;475020;47460
647;1540;154040;15762
648;570;57068;5138
649;2760;276019;27372
650;6835;683581;68522
651;1111;111151;11001
652;6840;684017;68370
653;9140;914050;91405
654;6875;687518;68615
655;1910;191079;19142
656;5060;506061;50400
657;8640;864008;86573
658;5285;528560;52520
659;4140;414029;41298
660;554;55420;5266
661;2750;275010;27430
662;7340;734060;73873
663;5260;526057;52678
664;2000;200001;20001
665;5230;523087;52210
666;1920;192007;19821
667;6825;682547;68264
668;1700;170017;17001
669;6875;687509;68255
670;2540;254040;25518
671;1900;190009;19001
672;7305;730587;73861
673;530;53017;5885
674;810;81047;8372
675;7620;762047;76020
676;2520;252030;25506
677;5205;520517;52110
678;1550;155001;15401
679;4760;476058;47960
680;4110;411027;41872
681;1905;190508;19130
682;2730;273037;27205
683;1300;130008;13001
684;9530;953007;95015
685;9170;917010;91407
686;2500;250052;25754
687;2504;250410;25793
688;7635;763567;76275
689;4700;470004;47001
690;1810;181059;18410
691;574;57420;5480
692;6800;680004;68001
693;2520;252037;25506
694;6830;683021;68500
695;7350;735007;73483
696;1510;151047;15218
697;9500;950001;95001
698;4760;476068;47170
699;5040;504001;50313
700;1900;190018;19001
701;6825;682568;68498
702;568;56820;5873
703;550;55038;5002
704;2532;253201;25019
705;820;82047;8558
706;6600;660002;66001
707;4410;441009;44560
708;570;57017;5543
709;4780;478027;47980
710;4730;473047;47245
711;1534;153468;15740
712;1345;134517;13490
713;578;57829;5051
714;4730;473027;47318
715;538;53857;5541
716;9410;941017;94886
717;1528;152867;15299
718;5060;506001;50223
719;850;85047;8606
720;9420;942010;94883
721;5070;507028;50689
722;4740;474028;47707
723;1108;110871;11001
724;7345;734560;73024
725;2340;234030;23580
726;1905;190501;19130
727;7315;731568;73283
728;1502;150207;15204
729;4140;414068;41548
730;7345;734567;73024
731;1534;153460;15740
732;5470;547017;54670
733;2502;250252;25899
734;1118;111821;11001
735;2532;253260;25086
736;4160;416087;41770
737;5220;522047;52381
738;4150;415080;41378
739;7350;735070;73555
740;8520;852038;85250
741;7315;731507;73870
742;1780;178047;17614
743;548;54838;5055
744;7350;735037;73217
745;840;84067;8770
746;4730;473048;47245
747;1300;130002;13001
748;578;57868;5837
749;2350;235028;23419
750;540;54020;5440
751;4750;475017;47058
752;2325;232508;23678
753;1950;195040;19290
754;7310;731060;73461
755;4750;475010;47058
756;4120;412047;41801
757;5215;521569;52786
758;8530;853039;85325
759;5010;501007;50110
760;2330;233020;23079
761;5255;525579;52699
