noid;limite_norte;limite_sur;limite_este;limite_oeste;tipo;barrios_contenidos_en_el_codigo_postal;veredas_contenidas_en_el_codigo_postal;codigo_municipio;codigo_departamento
1383;MUNICIPIO CONVENCIÓN;MPIO. OCAÑA Y GONZÁLEZ;MPIO. CONVENCIÓN Y OCAÑA;MPIO. OCAÑA Y RÍO DE ORO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;20310;20
541;QUEBRADA EL TUNAL;VEREDA SAN JOSE;MUNICIPIO  CUBARRAL;RIO SUMAPAZ;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;11001;11
16;CERRO VÍA PANTANILLO;MUNICIPIO ENVIGADO;MUNICIPIO ENVIGADO;LIMITE URBANO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;5001;5
3666;RÍO VICHADA- CÑ. MÚRIBO Y SEGUA;RÍO UVÁ;CAÑO SEGUA;MUNICIPIO PUERTO GAITÁN;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;99773;99
107;VIA VALD.-BRICE. Y C. BUENAVISTA;M. YARUMAL Y SAN ANDRES DE C.;MUNICIPIO YARUMAL;MPIO. ITUANGO Y TOLEDO;Rural;Sin Informacion de Barrios;Alto del Chiri- Barrancas-  Berlín-  Buena Vista-  Cabecera Municipal-  Cascarela-  Cucurucho-  El Ánime-  El Cantaro-  El Cedral-  El Llano Yolombal-  El Pescado-  El Respaldo-  El Roblal-  Espíritu Santo-  Guriman-  La América-  La Calera-  La Candelari;5107;5
2450;MUNICIPIO LA LLANADA;M. STA. CRUZ- PROVI. Y GUAITARILLA;M. LINARES Y ANCUYÁ;Q/DA. LA BARAZÓN Y RÍO (PERMANENTE);Rural;Sin Informacion de Barrios;Bella Florida- Cuatro Esquinas-  El Murcielago-  El Vergel-  Gramal-  La Arboleda-  La Florida-  La LLanada-  La Palma-  La Palma-  Motilon-  Oratorio-  Pacual-  Providencia-  Recreo-  San Francisco-  San Francisco-  Saspi;52678;52
1229;MUNICIPIO PÁEZ;RÍO MALVASA Y VÍA INZÁ-PÁEZ;MUNICIPIO PÁEZ;M. PÁEZ Y RÍO MALVASA;Rural;Sin Informacion de Barrios;El Hato- Escaño Alto-  Escaño Bajo-  La Meseta-  La Vega-  Loma Alta-  Lomitas-  Pisimbalá-  San Andres Centro-  San Francisco-  Segovia-  Yaquivá;19355;19
1488;MUNICIPIO SAN MARCOS;VÍA PUEBLO NUEVO-MARRALÚ;CIENAGA ESCOBITAS Y AYAPEL;MUNICIPIO PUEBLO NUEVO;Rural;Divino Niño- La Estrella- La Inmaculada- La Invasión- Prado- San Carlos- San Jerónimo- San José- Santa Ana- Santa Inés- Sector Turístico Norte- Siete de Agosto- Villa Esperanza;Sin Informacion de Veredas;23068;23
675;MUNICIPIO ARENAL;M. SIMITÍ Y STA. ROSA DEL SUR;RÍO SIMITÍ Y DE MORALES;MUNICIPIO MONTECRISTO;Rural;Sin Informacion de Barrios;Muela- San Rafael-  Santo Domingo-  Soya-  Tequendama-  Zabaleta;13473;13
925;M. ARCABUCO Y CHIQUIZA;MUNICIPIO TUNJA;MUNICIPIO COMBITA;MUNICIPIO ZORA;Rural;Sin Informacion de Barrios;Cabecera Municipal- Carbonera-  Centro-  Chuscal y Gavilán-  Pirgua-  Rista-  Salvial-  San Onofre-  Zona Urbana;15476;15
