noid;zona_postal;codigo_postal;limite_norte;limite_sur;limite_este;limite_oeste;tipo;barrios_contenidos_en_el_codigo_postal;veredas_contenidas_en_el_codigo_postal;codigo_municipio
881;6875;687557;M. LEBRIJA Y SABANA DE TORRES;MUNICIPIO BETULIA;RÍO (PERMANENTE);MUNICIPIO BARRANCABERMEJA;Rural;Sin Informacion de Barrios;Cerro de La Aurora- Río Sucio Alto-  San Silvestre;68307
882;1116;111621;AC  3;AU SUR;AK  50;AK  68;Urbano;Alcalá- Alqueria- Autopista Sur- Galán- La Camelia- Ospina Pérez- Ospina Pérez Sur- Provivienda Norte- San Eusebio- Tejar;Sin Informacion de Veredas;11001
883;550;55070;CL 73;LIMITE URBANO;KR 48;LIMITE URBANO;Urbano;Sin Informacion de Barrios;El Plan- Sabaletas;5282
884;2325;232529;VÍA CÍÉNAGA DE ORO-SAHAGÚN;RÍO (PERMANENTE);MUNICIPIO SAHAGÚN;ARROYO TORRENTES Y RÍO (PERMANENTE);Rural;Julio Manzur;El Amarillo- Las Aguaditas-  Las Huertas-  Salitral-  Trementino Abajo;23189
885;1550;155027;QUEBRADA ITOCO;MUNICIPIO MUZO;MUNICIPIO MUZO;M. LA VICTORIA Y YACOPI;Rural;Sin Informacion de Barrios;El Parque- GUACUMAY;15580
886;538;53810;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;KR 22;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;5206
887;9110;911037;MUNICIPIO LA PEDRERA;RÍO PUTUMAYO;BRAZIL;RÍO ALEGRÍA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;91798
888;1700;170002;LIMITE URBANO;KR 23;CL  63;CL 46;Urbano;Bosques del Norte- Comuneros- El Caribe- El Porvenir- El Sol- La Argentina- La Asunción- La Carola- La Leonora- La Rambla- Laureles- Los Cedros- Los Rosales- Minitas- Peralonso- San Cayetano- San Jorge- San Sebastián (I-II Etapa)- Sinaí- Solferino- Villah;Altos del Guamo- Cabecera Municipal-  El Porvenir-  Minitas-  Sierra Morena;17001
889;7050;705078;MUNICIPIO COROZAL;MUNICIPIO CHINU;BRAZO ARROYO CANOAS;VÍA CHINU-SAMPUÉS-CHOCHO;Rural;Pueblo Nuevo;Sin Informacion de Veredas;70670
890;9910;991007;MPIO. PTO. CARREÑO Y LA PRIMAVERA;CAÑO TUPARRITO Y TUPARRO;PAÍS VENEZUELA;CAÑO TUPARRITO Y RÍO (PERMANENTE);Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;99773
891;7300;730003;LIMITE URBANO;KR 5 Y RÍO CHIPALO;LIMITE URBANO;CL 70;Urbano;Sin Informacion de Barrios;La Esperanza- La Mafia de minas;73001
892;7600;760026;KR  73;KR  103 Y 102;RIO MELENDEZ;CL  25;Urbano;Caney- Ciudadela Comfandi- Lili;Sin Informacion de Veredas;76001
893;1532;153260;CL 10;CL 2;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15804
894;5205;520518;RÍO (PERMANENTE);M. PASTO- SANTIAGO Y COLÓN;M. EL TABLÓN DE G. Y COLÓN;RÍO (PERMANENTE);Rural;Sin Informacion de Barrios;El Guarango- Sinai;52110
895;1920;192048;M. B. AIRES Y S/DER. DE QUILICHAO;VÍA CALDONO-CAÑADULCE;RÍO OVEJAS;MUNICIPIO PIENDAMÓ;Rural;Sin Informacion de Barrios;El Porvenir;19137
896;5420;542037;M. CHINÁCOTA- HERRÁN Y PAÍS VENEZU.;RÍO MARGUA;PAÍS VENEZUELA;MUNICIPIO LABATECA;Rural;Sin Informacion de Barrios;Belchite- Belen-  Campoalegre-  Corralitos-  El Azul-  El Ceibal-  El Jordan-  El Retiro-  El Vegón-  Hato Grande-  Hatos Alto-  Ima-  Juan Perez-  La Camacha-  La Capilla-  La Cordillera-  La Loma-  Palmar Alto-  Palmar Bajo-  Roman-  Sabanalarga-  San I;54820
897;5285;528517;RÍO MIRA;VIA CANDELILLA - CANDELILLAS DEL MAR;VIA TUMACO - BARBACOAS;OCEANO PACIFICO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;52835
898;1520;152047;MPIO. CORRALES Y GAMEZA;MPIO. MONGUI Y MONGUA;MPIO. GAMEZA Y MONGUA;MPIO. NOBSA Y SOGAMOSO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;15820
899;574;57447;MUNICIPIO BEBEIBA;M. C. GORDAS Y FRONTINO;M. CAÑASGORDAS Y PEQUE;0;Rural;Sin Informacion de Barrios;Alto del Pital- Ambalema-  Arenales-  Balcon-  Barrancon-  Botija Arriba-  Buena Vista-  Caliche-  Caracolal-  Caunce-  Chachafrutal-  Chontadural-  Chontaduro-  Cominal-  Corozo-  Cumbre-  El Llano-  El Palón-  El Pital-  Encalichada-  Esperanza Botija-;5842
900;6800;680002;LIMITE URBANO;CL  45;LIMITE URBANO;KR  24;Urbano;Albania- Antonia Santos- Aurora- Buenos Aires- Cuartel- El Prado- Galán- Las Américas- Los Pinos- Mejoras Públicas- Miraflores- Morrorico- Planta La Flora- Quinta Brigada- San Alonso- U.I.S- Universidad- Vegas de Morrorico;Gualilo Alto- La Malaña-  Pedregal-  San José;68001
901;6805;680541;LIMITE URBANO;CL 1;TV 1;KR 5A;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;68820
902;500;50015;CL  49;CL  29;KR  46 Y 43A;KR  61- 63 Y 49;Urbano;Calle Nueva- Centro Administrativo- Corazón de Jesús- Guayaquil- La Alpujarra- Perpetuo Socorro;Sin Informacion de Veredas;5001
903;7050;705037;MPIO. MORROA Y LOS PALMITOS;AY. PULETAD Y VÍA LAS PALMAS-EL MAMÓN;MPIO. SAN JUAN DE BETULIA;MUNICIPIO SINCELEJO;Rural;Brucelas- Luis Carlos Galán- Marruecos;El Mamon- Rincon de Las Flores;70215
904;5470;547057;MPIO. EL CARMEN Y PAÍS VENEZUELA;MUNICIPIO TEORAMA;PAÍS VENEZUELA;RÍO SAYÁN BOKY Y M. EL CARMEN;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;54206
905;7020;702018;MPIO. OVEJAS Y LOS PALMITOS;MPIO. SAN LUIS DE SINCE;RÍO (PERMANENTE);MPIO. SAN LUIS DE SINCE;Rural;Sin Informacion de Barrios;Calabozo- El Bajo de La Alegría-  El Delirio-  La Distancia-  Los Chijetes-  Los Galapagos-  Monte Bazan-  Oro Blanco-  Paja Vieja-  Paja Vieja-  Perendengue-  Perendengue-  Rosario 1 y 2-  Róvira-  San Francisco-  Santa Inés;70717
906;1520;152080;KR 1;KR 5;CL 0;CL 6;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15114
907;1119;111971;CL  97 S;BARRIO MUCHUELO ALTO RURAL;RIO TUNJUELITO;M. SOACHA;Rural;Brazuelos Occidental- Brazuelos Occidental Rural- Mochuelo Alto- Mochuelo Alto Rural- Quiba Alto;Cabecera Municipal- SAN JORGE;11001
908;8620;862080;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;86569
909;2760;276050;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;27495
910;5280;528078;RÍO GUIZA;ECUADOR Y MPIO. RICAURTE;RÍO GUIZA;MPIO. SAN ANDRES DE TUMACO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;52079
911;1119;111941;KR 40- 42 Y 45B;KR 18Z  Y  19D;AC VILLAVICENCIO;M. SOACHA;Urbano;Arborizadora Alta- Arborizadora Alta- Arborizadora Alta- Arborizadora Alta- Candelaria La Nueva- Cerro Colorado- Ciudad Bolívar- Ciudad Bolívar Rural III- El Satélite- Juan José Rondón- Las Acacias- Las Manas- Los Laureles II- Ronda- San Francisco- Villa;Sin Informacion de Veredas;11001
912;2335;233538;MUNICIPIO SAN BENITO ABAD;VÍA COLORADO-LAS ESCOBILLAS;M. MAJAGUAL- GUARANDA Y SAN JA. CA.;CIENAGA ESCOBITAS Y AYAPEL;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;23068
913;1532;153227;MUNICIPIO UMBITA;MUNICIPIO TENZA;MUNICIPIO TENZA;M. VILLAPINZON Y UMBITA;Rural;Sin Informacion de Barrios;Barro Blanco Abajo- Barro Blanco Arriba-  Bosque-  Cabecera Municipal-  Camagoa-  Centro-  Chaguatoque-  Chucio-  Gaunza Arriba-  GUSVITA-  Hato-  Palma Abajo-  Palma Arriba-  PARAMO-  Páramo-  Peñas-  SAN ANTONIO-  Sisa-  Sisa-  Soatama-  Suntafita-  Tam;15380
914;2310;231038;VÍA EL LAZO-COTOCA ARRIBA;MUNICIPIO SAN PELAYO;RÍO SINÚ;ARROYO PORVENIR Y TRES BOCAS;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;23417
915;1840;184017;MPIO. CALAMAR Y MIRAFLORES;M. MIRITI-PARÁN- PTO. S/DER. Y RÍO YARÍ;MPIO. PACOA Y PTO. ALEGRIA;M. CARTA. DEL CAHIRÁ Y SAN V. DEL CA.;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;18756
916;7605;760538;M. EL LITORAL DEL SAN JUAN;M. DAGUA Y BUENAVENTURA;RÍO BRAVO Y (PERMANENTE);MPIO. BUENAVENTURA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;76126
917;2526;252657;M. JERUSALEN Y ANAPOIMA;MPIO. VIOTÁ Y TOCAIMA;MUNICIPIO ANAPOIMA;MUNICIPIO TOCAIMA;Rural;Sin Informacion de Barrios;ALTO DEL TRIGO- Circacia-  COPO-  NARANJAL-  NARANJALITO-  PALENQUE-  PALOQUEMAO-  VASQUEZ;25599
918;7320;732027;RÍO SUCIO Y GUALÍ;M. FALÁN- ARMERO Y HONDA;MUNICIPIO HONDA;MPIO. FRESNO Y FALÁN;Rural;Sin Informacion de Barrios;Cabecera Municipal- Cariano-  Fátima-  Hoyo Negro-  La ?nsula-  La Guardia-  La Platilla-  San Diego Alto-  San Diego Bajo-  San Jerónimo-  San Juan;73443
919;2310;231007;M. SAN BER. DEL VIENTO Y MAR CARIBE;RÍO BROQUELES Y (PERMANENTE);M. SAN BER. DEL VIENTO Y LORICA;MAR CARIBE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;23500
920;7615;761540;CL 25A;CL 8;LIMITE URBANO;LIMITE URBANO;Urbano;Bellavista- Bellavista- Belén- Ciudadela Grajales- El Carmen- El Jardín- El Prado- Fátima- Las Brisas- Las Lajas- Popular- San Pedro;Aguada- Cabecera Municipal-  Campesina-  El Rincón-  Martindosa-  Pajas de Oro-  San Miguel;76400
921;7625;762548;VÍA SEVILLA-BUENAVISTA;MUNICIPIO SEVILLA;MPIO. GENOVA Y PIJAO;MUNICIPIO SEVILLA;Rural;Sin Informacion de Barrios;Burila- Campo Azul-  El Salado-  Frontino-  La Delfina-  La Pava-  Risaralda;76122
922;2325;232547;MUNICIPIO CHINU;MUNICIPIO LA UNIÓN;MUNICIPIO CHINU;VÍA CHINU-CATALINA;Rural;Sin Informacion de Barrios;El Atascoso- El Jardín-  El Reparo-  Escobalito-  Palo Quemao-  Pitalito-  Salguerito;23660
923;518;51858;M. STA. ROSA DE OSOS;M. GIRARDOT. Y BARBOS.;RÍO;M. SAN PEDRO DE LOS M.;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;5237
924;6835;683521;CL 7B;CL 1;LIMITE URBANO;KR 9;Urbano;Sin Informacion de Barrios;La Palmita;68533
925;4400;440008;VIA ALBANIA - MATITA;MUNICIPIO DISTRACCIÓN;M. HATONUEVO - BARRANCAS;RÍO TAPIAS Y SAN FCO.;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;44001
926;7020;702017;MPIO. OVEJAS Y CORDOBA;MPIO. BUENAVISTA Y RÍO (PERMANENTE);MUNICIPIO BUENAVISTA;MPIO. OVEJAS Y RÍO (PERMANENTE);Rural;El JardÝn;Alonso- Arroyo Arena-  Belén-  Buenos Aires-  Cabecera Municipal-  El Carmen-  El Retorno-  El Sabanal-  Hacienda Quimbay-  La Candelaria-  La Esmeralda-  La Esperanza-  La Gloria-  La Incomparable-  Los Borrachos-  Los Camajones-  Montañas de Alonso-  Nu;70717
927;6845;684527;M. GUAV.- BARBOSA Y MONIQUIRA;MUNICIPIO SABOYÁ;MPIO. MONIQUIRA Y SANTA SOFIA;MPIO. ALBANIA Y JESUS MARIA;Rural;Sin Informacion de Barrios;Agudelo- Alto Cantano-  Alto Capilla-  Alto Guamito-  Alto Semisa-  Bajo Guamito-  Bajo San Dimas-  Capilla-  Cristales-  El Injerto-  El Morro-  Estancia González-  Iroba-  Jarantiva-  La Cuchilla-  Los Robles-  Mata de Ramo-  Pantanillo-  Popoa Norte-;68572
928;8610;861088;MUNICIPIO SANTIAGO;MPIO. ORITO Y PTO. CAICEDO;VÍA PTO. CAICEDO-LA CASTELLANA;MUNICIPIO ORITO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;86885
929;7030;703018;CAÑO MISALO Y RÍO (PERMANENTE);MPIO. AYAPEL Y MAJAGUAL;MUNICIPIO SUCRE;MPIO. CAIMITO Y SAN MARCOS;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;70678
930;1925;192578;MPIO. CAJIBÍO Y SILVIA;VÍA POPAYÁN-TOTORÓ;MUNICIPIO SILVIA;MPIO. POPAYÁN Y CAJIBÍO;Rural;Sin Informacion de Barrios;Calibio- Las Piedras;19824
931;800;80010;KR  8;KR  13D;AC MURILLO;CL  51B;Urbano;Carrizal- Ciudadela Veinte de Julio- El Santuario- Los Girasoles;Sin Informacion de Veredas;8001
932;6860;686028;MUNICIPIO VELEZ;MUNICIPIO BOLIVAR;MUNICIPIO VELEZ;RÍO (PERMA.) Y CERRO EL PICHUDO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;68385
933;1512;151247;MUNICIPIO CHISCAS;MUNICIPIO PANQUEBA;MUNICIPIO GÛICAN;MUNICIPIO GUACAMAYAS;Rural;Sin Informacion de Barrios;Cabecera Municipal- El Tobal-  La Laguna-  La Palma-  Llano Largo-  Santa Ana-  Uragón;15248
934;1780;178057;VÍA GUÁTICA-ALTO SAN VICENTE;MPIO. MISTRATO Y GUÁTICA;VÍA GUÁTICA-ALTO SAN VICENTE;MUNICIPIO MISTRATO;Rural;Sin Informacion de Barrios;Cambia- El Rubí-  Getsemaní-  Palermo-  Río Grande-  Roble Bonito-  Tres Cruces;17614
935;4730;473049;MUNICIPIO CHIMICHAGUA;MUNICIPIO EL PEÑÓN;M. CHIMICHAGUA Y TAMALAMEQUE;VÍA EL BANCO-CHIMICHAGUA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;47245
936;534;53457;MUNICIPIO MACEO;MUNICIPIO PUERTO NARE;M. MACEO Y PTO. BERRIO;M. SAN ROQUE Y SAN CARLOS;Rural;Sin Informacion de Barrios;Altos de Dolores- Botijas-  Canalones-  Canteras-  Canutillo-  Caño Seco-  Caracoli-  Cascaron-  Cristalina-  Efe Gomez-  El Bagre-  El Buey-  El Pital-  Guadalito-  La Chinca-  La Cienaga-  La Clara-  La Cortada-  La Ilusion-  La Maria-  La Mesa-  La Min;5142
937;7010;701037;MPIO. EL CARMEN DE BOLÍVAR;MUNICIPIO SAN PEDRO;MUNICIPIO CORDOBA;ARROYO MANCOMOJAR Y RÍO (PERMANENTE);Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;70508
938;7610;761038;MUNICIPIO TRUJILLO;MUNICIPIO YOTOCO;MUNICIPIO TULUÁ;VÍA TRUJILLO-FENICIA Y RÍO FRÍO;Rural;Sin Informacion de Barrios;Cabecera Municipal- Fenicia-  La Guaira-  Portugal de Piedra;76616
939;510;51028;VÍA MEDELLÍN-SANTO DOMINGO;MPIO. SAN VICENTE Y CONCEPCIÓN;MUNICIPIO SANTO DOMINGO;MUNICIPIO GIRARDOTA;Rural;Sin Informacion de Barrios;Aguas Claras Abajo- Aguas Claras Arriba-  Arango-  Buenos Aires-  Cabecera Municipal-  Chorro Hondo-  Corrientes-  Dos Quebradas-  El Contado-  El Hatillo-  El Hoyo-  El Uvito-  El Viento-  Encenillos-  Guamito-  Guayabal-  Isaza-  La Aguada-  La Aldea-;5079
940;2536;253610;LIMITE URBANO;CL 1;KR 2;KR 6;Urbano;Sin Informacion de Barrios;CENTRO 1- CENTRO 2-  EL CURAL-  ROSARIO-  SAN JUAN;25402
941;2720;272058;Q. CHIGUARANDÓ- RÍO PATO Y (PERMANENTE);MPIO. CÉRTEGUI Y EL CANTÓN DEL SAN PABLO;MUNICIPIO ATRATO;MPIO. EL CANTÓN DEL SAN PABLO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;27600
942;9110;911017;M. TARAPACA Y PERÚ;RÍO AMACAYACU;MUNICIPIO LETICIA;PERÚ;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;91540
943;4430;443048;M. RIOHA. Y ARROYO POTRE. DE VENANCIO;MUNICIPIO FONSECA;VÍA HATO.-FONSE.- ARRO. P. DE VE. Y SECO;MUNICIPIO FONSECA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;44078
944;7040;704030;LIMITE URBANO;KR 40;CL 27;CL 17;Urbano;20 de Enero- Benjamín Porras- Buenos Aires- Calancala- Centro- El Prado- El Progreso- Fernán Fortich- Kennedy- La Candelaria- Las Maravillas- Los Ángeles- Mariano Álvarez- Nuevo México- Pablo VI- Primero de Junio- Puerto López- San Francisco- San José- Sa;Sin Informacion de Veredas;70708
945;1740;174001;LIMITE URBANO;CL 3A;KR 1;KR 12;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;17662
946;9400;940008;RÍO INÍRIDA;MUNICIPIO PUERTO COLOMBIA;MUNICIPIO CACAHUAL;RÍO INÍRIDA Y CAÑO SANTA CRUZ;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;94001
947;2300;230027;CAÑO TRES BOCAS Y RÍO (PERMANENTE);MUNICIPIO VALENCIA;RÍO SINÚ;Q/DA. MATA DE PLATANO Y FLORISANTO;Rural;Sin Informacion de Barrios;Broquelito- Buena Vistas-  Caracoli-  Córdoba-  Currayao-  El Cucharo-  El Guineo-  El Torno-  El Tronco-  Florisanto-  Guasimal-  La Nubes-  La Puente-  Las Flores-  Las Palomas-  Los Almendros-  Matamoros-  Pereira-  Puente Largo-  San Diego Arriba-  Sa;23001
948;5420;542030;CL 17;CL 2;KR 1 SUR;KR 10;Urbano;Sin Informacion de Barrios;Buenavista- San Isidro;54820
949;7610;761028;MUNICIPIO BOLÍVAR;MPIO. RIOFRÍO Y ANDALUCÍA;M. BOLÍ.- BUGALAGRAN. Y ANDALUCÍA;VÍA RIOFRÍO-NARANJAL;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;76828
950;1770;177087;VÍA MISTRATÓ-ANSERMA;MPIO. VITERBO Y RISARALDA;VÍA ANSERMA-RISARALDA;MPIO. BELÉN DE UMBRIA;Rural;Sin Informacion de Barrios;Caucayá- El Algarrobo-  El Cairo-  El Diamante-  El Tablazo-  Guaira-  la Bohemia-  La Esperanza-  La Garrucha-  La Isla-  La Tesalia-  los Angeles-  Pisamo-  Remolino;17042
951;6610;661040;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;CL 17;Urbano;Sin Informacion de Barrios;Canta Delicia- Caracas-  Casco Urbano-  Mil Ochenta-  San Carlos-  Valencia;66440
952;1538;153840;CL 8;LIMITE URBANO;LIMITE URBANO;KR 7;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15808
953;520;52060;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;5107
954;1920;192057;VÍA CALDONO-PIOYÁ Y RÍO PIOYA;MUNICIPIO SILVIA;M. SILVIA Y RÍO PIOYÁ;RÍO OVEJAS;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;19137
955;1860;186058;MPIO. SAN J. DEL FRAGUA;RÍO CAQUETÁ;MUNICIPIO ALBANIA;M. SAN J. DEL FRAGUA Y RÍO YURAYACO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;18205
956;1526;152647;MUNICIPIO MIRAFLORES;M. SAN LUIS  DE GACENO;MUNICIPIO PAEZ;M. STA MARIA Y MACANAL;Rural;Sin Informacion de Barrios;Cafetero- La Esperanza-  Mara Al-  San Pedro-  Santa Maria;15135
957;2760;276077;MPIO. BOJAYÁ Y BAHIA SOLANO;RÍO CUGUCHO Y BAUDÓ;MUNICIPIO QUIBDÓ;MUNICIPIO NUQUI;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;27025
958;1325;132511;LIMITE URBANO;CL  16 Y 17;RIO MAGDALENA;B. LA BALASTRERA Y LIM URB;Urbano;Boston- Ciénaga de Baracoa- Costa Nueva- Cristo Prado- El Prado- La Balastrera- La Candelaria III- La Paz- Los Libertadores- Minuto de Dios- Montecatini- Olaya Herrera- Pastrana- Pueblo Nuevo- San José- San Mateo- Simón Bolívar- Yati;Sin Informacion de Veredas;13430
959;5430;543030;CL 5B;LIMITE URBANO;KR 1 SUR;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;54520
960;1522;152247;MUNICIPIO FIRAVITOBA;MUNICIPIO CUITIVA;MUNICIPIO SOGAMOSO;MUNICIPIO PESCA;Rural;Sin Informacion de Barrios;Amarillos- Buireros-  Caracoles-  Cordoncillo-  La Vega-  Pedregal-  Primera Chorrera-  Tobaca-  Vanegas;15362
961;8610;861087;MUNICIPIO MOCOA;MUNICIPIO PUERTO CAICEDO;MUNICIPIO MOCOA;VÍA PTO. CAICEDO-LA CASTELLANA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;86885
962;538;53817;MPIO. SANTO DOMINGO;MUNICIPIO PEÑOL;MUNICIPIO ALEJANDRIA;M. BARBOSA Y SAN VICENTE;Rural;Sin Informacion de Barrios;Cabecera Municipal- Despensas-  El Saltillo-  La Candelaria-  La Cejita-  La Clara-  La Piedad-  La Trinidad-  Las Frias-  Las Frías-  Montegrande-  Morro Reyes-  Palmichal-  Peláez-  San Juan Llano-  San Pedro Alto-  Santa Ana-  Santa Gertrudiz-  Santa I;5206
963;1310;131067;M. ARJONA Y MAHATES;RÍO PERMANENTE Y CIEN. MA. LA BAJA;M. SAN JUAN NEPOMUCENO;VIA FLAMENCO - CORREA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;13442
964;2315;231540;CL 14;CL 1;KR 1;KR 13A;Urbano;Sin Informacion de Barrios;Purisima;23586
965;1330;133028;RÍO PERMANENTE;M. PINILLOS Y HATILLO DE LOBA;M. EL BANCO Y HATILLO DE LOBA;MPIO. SAN FERNANDO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;13440
966;1910;191047;VÍA DOMINGUILLO-SAN PEDRO;MUNICIPIO CALDONO;VÍA S. DE QUI.-S. PEDRO-EL TURCO;VÍA S. DE QUILICHAO-MONDOMO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;19698
967;2340;234039;VÍA J. JOSÉ-VILLANUEVA Y RÍO SAN PEDRO;MUNICIPIO ITUANGO;MUNICIPIO TARAZÁ;MUNICIPIO MONTELIBANO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;23580
968;1960;196030;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;19809
969;5010;501021;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;50226
970;1950;195017;VÍA BOLÍVAR-LA HERRADURA;MUNICIPIO SANTA ROSA;MUNICIPIO SAN SEBASTIÁN;RÍO DANTAS Y (PERMANENTE);Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;19100
971;9720;972048;PAÍS BRASIL;MUNICIPIO LA PEDRERA;PAÍS BRASIL;RÍO UJCA VICA Y (PERMANENTE);Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;97666
972;1530;153037;MPIO. SUTATENZA Y GARAGOA;MUNICIPIO GUAYATÁ;MUNICIPIO ALMEIDA;MPIO. GUATEQUE Y GUAYATÁ;Rural;Sin Informacion de Barrios;Barreras- Bohórquez-  Canos-  Cobavita-  Cucuavaca-  Pancupa-  Resguardo-  San Antonio;15761
973;2506;250640;CL 21;CL 1 S;KR 15;KR 1 S;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;25745
974;5465;546552;KR  22 Y 24;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;54498
975;1760;176048;MUNICIPIO ANSERMA;VÍA PALESTINA-RÍO CAMPOALEGRE;M. MANIZALES Y VÍA ARAUCA-PALESTI.;MPIO. RISARALDA Y CHINCHINÁ;Rural;Sin Informacion de Barrios;La Piedra- La Plata;17524
976;7070;707057;MUNICIPIO SAN ONOFRE;MUNICIPIO SINCELEJO;MPIO. COLOSÓ Y MORROA;MUNICIPIO SANTIAGO DE TOLÚ;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;70823
977;2520;252001;AV 8;CL 2 S;KR 3E;LIMITE URBANO;Urbano;Sin Informacion de Barrios;SAN ANTONIO- SAN JOSE-  SAN MIGUEL-  SAN ROQUE-  SANTA BARBARA;25053
978;2534;253449;MPIO. LA DORADA Y PTO. SALGAR;VIA HONDA - GUADUAS;M. CAPARRAPI Y VIA GUAD.-CAPARRA.;MPIO. LA DORADA Y HONDA;Rural;Sin Informacion de Barrios;BODEGAL- CUATRO ESQUINAS-  PITAL LA GLORIA-  PLAYAGRANDE-  SECTOR MIRAFLORES;25320
979;4450;445007;M. SAN J. DEL CESAR Y EL MOLINO;MUNICIPIO URUMITA;VÍA EL MOLINO-URUMITA;M. VALLEDUPAR Y SAN J. DEL CESAR;Rural;Sin Informacion de Barrios;LOS GUAMACHITOS- LOS QUEMAOS PLANO;44874
980;7620;762027;MUNICIPIO PEREIRA;MUNICIPIO OBANDO;M. PEREI.- ULLOA- ALCALA Y QUIMBAYA;MPIO. ANSERMANUEVO;Rural;Melquisedec Q- Nueva Colombia- San Joaquín- Urbanización La Linda;El Dinde- El Edén-  El Higuerón-  El Jazmin-  Guaymaral-  La Estrella-  La Montana-  Palermo;76147
981;6340;634007;MUNICIPIO PEREIRA;VÍA ULLOA-FILANDIA Y MPIO. CIRCASIA;MPIO. CIRCASIA Y SALENTO;MUNICIPIO ULLOA;Rural;Sin Informacion de Barrios;Argenzul- Cabecera Municipal-  El Roble-  El Vergel-  Fachadas-  La Cauchera-  La Concha-  La Morelia;63272
982;1325;132519;VIA MAGANGUE-SAN PEDRO;MUNICIPIO SUCRE;MPIO. MOMPOS Y CICUCO;M. BUENAV.- GALERAS Y S. BENITO A.;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;13430
983;5040;504061;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;50711
984;6800;680007;MUNICIPIO RIONEGRO;RIO SURATA;M.  MATANZA;MUNICIPIO GIRÓN;Rural;Colorados- El Rosal- La Torre- Los Palos- Pablon Alto- Rosalta- Vereda San Ignacio- Villa Patricia;Capilla Parte Alta- San Cayetano-  San Pedro Bajo-  Santa Rita-  Vijagual;68001
